Avinguda Corts Valencianes,39.068301009264815,-0.26280770201579284
Avinguda de les Germanies,39.072488067419265,-0.2638606308508702
C/ de Sant Lluis,39.07624962385192,-0.2634727308507986
C/ Doctor Fleming,39.07195019699922,-0.2653657731805491
C/ Jaime II,39.085916262661954,-0.21500594434507228
Calle Ausiàs March,39.072982067244276,-0.2611743731805247
Calle Baladrera,39.1002935836102,-0.22259435968542463
Calle Benifairó,39.07143219724408,-0.2718497596860646
Calle Blasco Ibáñez,39.09613190597538,-0.22009070201519074
Calle Buenavista,39.0756673504997,-0.26778080201563875
Calle Buenos Aires,39.07246897944698,-0.2729230731805321
Calle Calvario,39.074766266612414,-0.26555417318048224
Calle Cantalot,39.06978300908989,-0.2752140020157727
Calle Carmen,39.07140880889776,-0.2681397443453887
Calle Castellets,39.076625637116884,-0.2653489020156011
Calle Cervantes,39.06971166840274,-0.27075260201575635
Calle Císcar,39.085176735096816,-0.2143069308505878
Calle de Aitana,39.08886873422442,-0.21565870201533985
Calle de Alberique,39.10062840544378,-0.22426490201508423
Calle de Alfandech,39.072083914440974,-0.26357583085087294
Calle de Alicante,39.07520770844891,-0.2619225308508187
Calle de Alzira,39.101390331265286,-0.22206410201507001
Calle de Ausiàs March,39.072982067244276,-0.2611743731805247
Calle de Barx,39.10271137944253,-0.22491637317987603
Calle de Benifairó,39.07139717944732,-0.27604560201571815
Calle de Bixquert,39.07115723840853,-0.268206502015717
Calle de Blasco Ibáñez,39.09613190597538,-0.22010143085035702
Calle de Buenavista,39.075692337337344,-0.2677915308508051
Calle de Buenos Aires,39.072485638094754,-0.2729445308508647
Calle de Carcaixent,39.100219805491896,-0.22347183085026232
Calle de Cervantes,39.06969500910021,-0.27075260201575635
Calle de Císcar,39.08515175161797,-0.2142962020154215
Calle de Cristóbal Almela,39.08154608643945,-0.25278621721995065
Calle de Dolores Rojas Almela,39.074465021270285,-0.2669919308508214
Calle de Favara,39.101965805285424,-0.22433140201506457
Calle de Gabriel Hernández,39.070319838606196,-0.2690277731805797
Calle de Gandía,39.07159220887621,-0.26107110201573497
Calle de Gandía-Valencia,39.07157555001755,-0.2610925596860811
Calle de Goya,39.19305150957995,-0.43564075968346194
Calle de Imelda Altur,39.07405477944687,-0.2601670020156648
Calle de Jaime II,39.08589960718499,-0.2150488596857375
Calle de Jaraco,39.07117477944726,-0.26095760201572427
